nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
Omnia Pink Sapphire Bvlgari for women,for women, - citrus - floral - powdery - musky - sweet - fresh spicy - tropical - fruity, 49.2219%, 21.3428%, 29.4353%, 34.8214%, 100%, 20.5357%, 39.5089%, 2.90179%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Rose Goldea Bvlgari for women,for women, - rose - floral - woody - musky - fresh - powdery - fresh spicy - white floral, 44.9232%, 16.741%, 38.3358%, 67.7824%, 100%, 21.4784%, 27.7545%, 1.25523%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Rose Goldea Blossom Delight Bvlgari for women,for women, - rose - green - musky - white floral - floral - tropical - powdery - fresh - ozonic, 48.0956%, 10.5302%, 41.3742%, 62.069%, 100%, 27.1552%, 25.431%, 1.2931%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Rose Goldea Jacky Tsai Edition Bvlgari for women,for women, - rose - woody - floral - powdery - musky - fresh spicy - fruity - fresh - vanilla - white floral, 25.5474%, 7.29927%, 67.1533%, 100%, 14.2857%, 7.14286%, 7.14286%, 7.14286%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Rose Goldea Kathleen Kye Edition Bvlgari for women,for women, - rose - floral - citrus - fresh spicy - woody - powdery - musky - fresh - vanilla - white floral, 33.3333%, 7.07071%, 59.596%, 80%, 100%, 0%, 0%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Rubinia Bvlgari for women,for women, - vanilla - warm spicy - balsamic - woody - powdery - citrus - violet - white floral - sweet - oud, 37.6147%, 11.3761%, 51.0092%, 100%, 88.8889%, 33.3333%, 22.2222%, 31.746%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Veridia Bvlgari for women,for women, - aromatic - amber - woody - warm spicy - green - vanilla - musky - powdery - fresh spicy - balsamic, 30.8357%, 12.9683%, 56.196%, 100%, 65.3061%, 12.2449%, 18.3673%, 6.12245%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
A Kiss from a Rose By Kilian for women,for women, - green - rose - white floral - woody - fruity - musky - floral - earthy - powdery, 28.0079%, 5.32544%, 66.6667%, 100%, 100%, 36.1111%, 26.3889%, 8.33333%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Born to be Unforgettable By Kilian for women and men,for women and men, - citrus - coca-cola - woody - fresh spicy - warm spicy - cinnamon - vanilla - powdery - conifer - sweet, 21.8919%, 3.78378%, 74.3243%, 100%, 92.1569%, 70.5882%, 43.1373%, 37.2549%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Can't Stop Loving You By Kilian for women,for women, - white floral - honey - sweet - mossy - vanilla - amber - citrus - earthy - woody - fresh spicy, 32.652%, 7.27817%, 60.0698%, 100%, 95.098%, 55.8824%, 46.0784%, 16.6667%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
