nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
Plein Fatale Philipp Plein Parfums for women,for women, - sweet - woody - fruity - musky - white floral - vanilla - amber - powdery - soft spicy - yellow floral, 35.514%, 11.6822%, 52.8037%, 74.2857%, 100%, 71.4286%, 45.7143%, 40%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Plein Fatale Rosé Philipp Plein Parfums for women,for women, - rose - fruity - amber - floral - woody - citrus - musky - white floral - tropical, 42.2764%, 2.43902%, 55.2846%, 42.8571%, 100%, 52.381%, 28.5714%, 23.8095%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
The $kull Philipp Plein Parfums for women and men,for women and men, - leather - animalic - aquatic - amber - vanilla - warm spicy - fresh - balsamic - woody - smoky, 30%, 5.5%, 64.5%, 84.2105%, 34.2105%, 13.1579%, 100%, 44.7368%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Enigme Pierre Cardin for men,for men, - woody - warm spicy - aromatic - amber - mossy - earthy - powdery - floral - musky - balsamic, 29.4118%, 15.508%, 55.0802%, 100%, 85%, 15%, 5%, 5%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Midnight Romance Ralph Lauren for women,for women, - fruity - floral - fresh - sweet - rose - iris - powdery - vanilla - white floral - tropical, 44.1714%, 22.0571%, 33.7714%, 58.1281%, 100%, 6.15764%, 33.0049%, 0.985222%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Encens Saba Reine de Saba for women and men,for women and men, - amber - warm spicy - woody - fresh spicy - balsamic - leather - patchouli, 15.5172%, 1.72414%, 82.7586%, 100%, 45.4545%, 54.5455%, 0%, 0%,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Fiori di Essenza Divina Renato Balestra for women,for women, - woody - fresh spicy - citrus - amber - yellow floral - aromatic - animalic - white floral - sweet - musky, 18.1818%, 0%, 81.8182%, 66.6667%, 100%, 0%, 0%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Roberto Cavalli Man Roberto Cavalli for men,for men, - citrus - aromatic - woody - warm spicy - lavender - fresh spicy - powdery - musky - fresh - leather, 41.8079%, 32.3917%, 25.8004%, 74.5098%, 100%, 5.88235%, 20.5882%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
VV Roberto Verino for women,for women, - citrus - fruity - fresh spicy - warm spicy - musky - green - fresh, 25.7032%, 59.0689%, 15.2279%, 34.5679%, 100%, 2.88066%, 40.7407%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Byzance Rochas for women,for women, - warm spicy - white floral - powdery - woody - floral - aldehydic - tuberose - aromatic - fresh - vanilla, 38.6373%, 34.6647%, 26.698%, 100%, 90.2913%, 3.8835%, 19.6602%, 0.849515%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Byzantine Rochas for women,for women, - floral - powdery - white floral - yellow floral - citrus - warm spicy - woody - sweet - green - vanilla, 33.7393%, 22.8989%, 43.3618%, 100%, 74.6154%, 0%, 16.1538%, 0.769231%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Eau de Lotus Bleu Roger & Gallet for women,for women, - citrus - white floral - floral - woody - fresh spicy - sweet - powdery, 29%, 27%, 44%, 60%, 100%, 0%, 4.44444%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Feuille de Thé Roger & Gallet for women and men,for women and men, - citrus - green - fresh - aromatic - ozonic - woody, 58.9474%, 2.10526%, 38.9474%, 100%, 63.1579%, 10.5263%, 5.26316%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Gingembre Rouge Limited Edition 2019 Roger & Gallet for women,for women, - woody - citrus - fruity - musky - white floral - warm spicy - powdery - fresh - sweet - tropical, 39.1304%, 0%, 60.8696%, 0%, 100%, 0%, 50%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Rose Imaginaire Roger & Gallet for women,for women, - fruity - woody - white floral - powdery - violet - citrus - sweet - patchouli - warm spicy - floral, 37.2294%, 24.6753%, 38.0952%, 41.25%, 100%, 2.5%, 11.25%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Thé Fantaisie Roger & Gallet for women,for women, - citrus - aromatic - woody - green - fresh spicy - soft spicy - warm spicy - amber - fresh - earthy, 48.6154%, 12.3077%, 39.0769%, 100%, 96.4286%, 14.2857%, 16.0714%, 3.57143%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Romeo Gigli Man Romeo Gigli for men,for men, - citrus - fresh spicy - woody - aromatic - warm spicy - green - cinnamon - patchouli, 37.0518%, 33.0677%, 29.8805%, 69.6429%, 100%, 5.35714%, 25%, 1.78571%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Romeo Gigli per Uomo Romeo Gigli for men,for men, - woody - warm spicy - aromatic - amber - sweet - balsamic - citrus - powdery - vanilla - fresh spicy, 38.4466%, 34.7573%, 26.7961%, 100%, 72.9167%, 4.16667%, 12.5%, 2.08333%,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
S-Perfume S-Perfume for women and men,for women and men, - marine - salty - aromatic - musky - amber - powdery - woody - balsamic - aquatic - vanilla, 19.2982%, 3.50877%, 77.193%, 66.6667%, 100%, 0%, 0%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
S-Perfume Jet Scent Remix 2.0 S-Perfume for women and men,for women and men, - powdery - musky - vanilla - woody - salty - marine - warm spicy - balsamic - sweet, 17.6471%, 8.82353%, 73.5294%, 100%, 0%, 0%, 0%, 0%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
S-Perfume v1.05 Jet Scent S-Perfume for women and men,for women and men, - marine - salty - aromatic - sand - aquatic, 3.57143%, 0%, 96.4286%, 0%, 100%, 0%, 0%, 0%,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Angelic Pink Salvador Dali for women,for women, - citrus - fruity - floral - woody - sweet - green - soft spicy - white floral - fresh - aromatic, 15.894%, 18.543%, 65.5629%, 50%, 100%, 11.1111%, 33.3333%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Calice De La Seduction Eternelle Salvador Dali for women and men,for women and men, - woody - amber - patchouli - earthy - yellow floral - warm spicy - balsamic - aromatic - sweet, 28.7554%, 9.01288%, 62.2318%, 86.6667%, 100%, 10%, 36.6667%, 6.66667%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Dali Eau de Toilette Salvador Dali for women,for women, - citrus - white floral - floral - musky - woody - powdery - rose - sweet - vanilla - animalic, 44.4264%, 28.5598%, 27.0138%, 37.8182%, 100%, 8%, 32.3636%, 0.727273%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Dali Parfum de Toilette Salvador Dali for women,for women, - amber - warm spicy - white floral - woody - balsamic - powdery - green - aldehydic - yellow floral - fresh, 50.4054%, 37.3987%, 12.196%, 64.2186%, 100%, 4.35525%, 36.6781%, 1.11016%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Fabulous 1 - Dali Salvador Dali for women,for women, - white floral - amber - green - powdery - woody - citrus - fresh - aldehydic - aromatic - warm spicy, 23.2%, 8%, 68.8%, 65.3846%, 100%, 0%, 19.2308%, 0%,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Fluidite Du Temps Imaginaire Salvador Dali for women,for women, - white floral - tuberose - woody - warm spicy - citrus - vanilla - powdery - animalic, 33.0049%, 7.88177%, 59.1133%, 64.8649%, 100%, 24.3243%, 29.7297%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Melodie Du Cygne De La Main Salvador Dali for women,for women, - sweet - powdery - violet - fruity - vanilla - iris - woody - lactonic - floral - citrus, 25%, 11.8182%, 63.1818%, 51.2821%, 100%, 12.8205%, 15.3846%, 5.12821%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Regard Scintillant de Mille Beautes Salvador Dali for women and men,for women and men, - rose - musky - floral - citrus - woody - powdery, 28.0423%, 7.40741%, 64.5503%, 100%, 91.6667%, 16.6667%, 25%, 0%,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Voyage Onirique Du Papillon De Vie Salvador Dali for women and men,for women and men, - white floral - tuberose - citrus - animalic, 26.0664%, 8.53081%, 65.4028%, 75%, 100%, 8.33333%, 19.4444%, 2.77778%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Acqua Essenziale Salvatore Ferragamo for men,for men, - aromatic - fresh spicy - marine - green - woody - lavender, 53.0536%, 18.3215%, 28.625%, 61.343%, 100%, 11.2523%, 16.8784%, 0.725953%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Acqua Essenziale Blu Salvatore Ferragamo for men,for men, - amber - aromatic - citrus - woody - warm spicy - lavender - vanilla - earthy - fresh spicy - musky, 58.3646%, 13.3128%, 28.3227%, 83.0918%, 100%, 16.4251%, 14.8148%, 2.41546%,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Acqua Essenziale Colonia Salvatore Ferragamo for men,for men, - aromatic - citrus - aquatic - white floral - lavender - fresh spicy - amber - soft spicy - fresh - woody, 53.392%, 13.526%, 33.0821%, 88.2353%, 100%, 15%, 20%, 3.23529%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Emozione Salvatore Ferragamo for women,for women, - powdery - floral - musky - iris - rose - vanilla - fresh - fruity - citrus - violet, 44.4921%, 22.4175%, 33.0904%, 57.4205%, 100%, 12.1908%, 31.9788%, 1.41343%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Emozione Dolce Fiore Eau de Parfum Salvatore Ferragamo for women,for women, - citrus - rose - musky - floral - powdery - fresh - leather - fresh spicy - vanilla - fruity, 28.3688%, 9.92908%, 61.7021%, 44.4444%, 100%, 11.1111%, 5.55556%, 0%,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Punta Ala Salvatore Ferragamo for women and men,for women and men, - citrus - woody - white floral - aromatic - fresh spicy - musky, 22%, 8%, 70%, 100%, 72.7273%, 36.3636%, 9.09091%, 9.09091%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Punta Ala (2014) Salvatore Ferragamo for women and men,for women and men, - woody - citrus - aromatic - fresh - earthy, 33.0357%, 10.7143%, 56.25%, 100%, 83.3333%, 5.55556%, 22.2222%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Uomo Salvatore Ferragamo Salvatore Ferragamo for men,for men, - sweet - amber - warm spicy - aromatic - vanilla - woody - fresh spicy - musky - citrus, 56.0032%, 12.5738%, 31.4229%, 100%, 82.5696%, 12.3568%, 23.3224%, 2.45499%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Uomo Salvatore Ferragamo Limited Edition Salvatore Ferragamo for men,for men, - warm spicy - amber - woody - sweet - aromatic - musky - fresh spicy - citrus - white floral - balsamic, 42.2018%, 9.78593%, 48.0122%, 100%, 37.7778%, 6.66667%, 13.3333%, 0%,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Uomo Salvatore Ferragamo Signature Salvatore Ferragamo for men,for men, - warm spicy - leather - aromatic - coffee - vanilla - citrus - cinnamon - sweet - amber - woody, 55.989%, 9.4011%, 34.6099%, 100%, 52.4696%, 14.413%, 10.6883%, 2.83401%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Uomo Salvatore Ferragamo Urban Feel Salvatore Ferragamo for men,for men, - amber - woody - citrus - aromatic - ozonic - fresh spicy - musky - warm spicy - balsamic - patchouli, 57.1154%, 11.859%, 31.0256%, 89.3204%, 100%, 32.5243%, 26.699%, 4.85437%,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Stella Peony Stella McCartney for women,for women, - floral - fresh spicy - fresh - woody - rose - warm spicy - aromatic - patchouli, 38.5838%, 19.0751%, 42.341%, 79.1667%, 100%, 13.3333%, 45%, 0.833333%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Tommy Tommy Hilfiger for men,for men, - green - fresh spicy - citrus - fruity - aromatic - fresh - lavender - powdery - floral - rose, 54.9472%, 36.0632%, 8.98962%, 47.4449%, 100%, 14.5792%, 17.1343%, 1.80361%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Bianco Trussardi for women,for women, - floral - fresh spicy - citrus - fruity - sweet - musky - aquatic - woody - warm spicy - ozonic, 17.4797%, 37.3984%, 45.122%, 56%, 100%, 1%, 21%, 1%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
V Valentino for women,for women, - woody - citrus - fruity - floral - sweet - powdery - amber - rose - vanilla - balsamic, 26.0945%, 53.6194%, 20.2861%, 74.9027%, 100%, 3.11284%, 24.1245%, 0.77821%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Valentina Valentino for women,for women, - white floral - earthy - sweet - fruity - vanilla - animalic - tuberose - citrus - powdery - amber, 38.8401%, 29.2091%, 31.9508%, 60.4006%, 100%, 5.30569%, 33.4153%, 0.562193%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Les Saisons Hiver Van Cleef & Arpels for women,for women, - citrus - fresh spicy - warm spicy - musky - aromatic - powdery - conifer - sweet - green - sour, 26.0274%, 26.2557%, 47.7169%, 48.8095%, 100%, 2.38095%, 25%, 0%,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Murmure Van Cleef & Arpels for women,for women, - white floral - floral - woody - citrus, 38.7358%, 38.8169%, 22.4473%, 59.204%, 100%, 3.48259%, 68.6567%, 1.49254%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Zanzibar Van Cleef & Arpels for men,for men, - warm spicy - aromatic - woody - citrus - fresh spicy, 33.2895%, 25.5263%, 41.1842%, 95.6897%, 100%, 7.75862%, 12.069%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Bright Crystal Versace for women,for women, - floral - citrus - fresh - woody - fresh spicy - rose, 43.7318%, 41.605%, 14.6632%, 50.0158%, 100%, 14.5296%, 42.24%, 2.37067%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Bright Crystal Absolu Versace for women,for women, - floral - fruity - fresh - sweet - woody - citrus - aquatic - rose - fresh spicy - musky, 52.8552%, 25.2639%, 21.8809%, 72.9489%, 100%, 18.1926%, 33.7693%, 3.32937%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Eros Pour Femme Versace for women,for women, - citrus - white floral - woody - musky - floral - fresh - fresh spicy - powdery - aromatic - amber, 52.7386%, 20.6059%, 26.6555%, 67.7125%, 100%, 18.3115%, 45.6931%, 3.36566%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Eros Pour Femme Eau de Toilette Versace for women,for women, - citrus - fruity - sweet - white floral - floral - musky - fresh, 58.9228%, 17.8456%, 23.2316%, 97.7647%, 100%, 14.3529%, 22.3529%, 1.17647%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Versace Pour Homme Versace for men,for men, - citrus - aromatic - fresh spicy - floral - rose - green, 59.5016%, 16.6751%, 23.8233%, 100%, 82.7708%, 10.7104%, 12.6701%, 1.38813%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Versace Pour Homme Dylan Blue Versace for men,for men, - amber - citrus - fresh spicy - musky - aquatic - warm spicy - woody - fresh - aromatic - smoky, 64.125%, 13.1587%, 22.7163%, 100%, 91.1075%, 19.0137%, 19.5635%, 2.9426%,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Hechizo Victorio & Lucchino for women,for women, - rose - fruity - white floral - sweet - patchouli - citrus - floral - musky - woody - powdery, 37.4384%, 23.6453%, 38.9163%, 62.8571%, 100%, 8.57143%, 42.8571%, 2.85714%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Belle d'Opium Yves Saint Laurent for women,for women, - white floral - fruity - amber - warm spicy - woody - sweet - balsamic - smoky - fresh spicy - tobacco, 45.3266%, 27.0198%, 27.6536%, 76.7024%, 100%, 2.86938%, 36.4026%, 0.513919%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
M7 Yves Saint Laurent for men,for men, - oud - amber - aromatic - fresh spicy - citrus - woody - musky - powdery - earthy, 37.8214%, 19.5089%, 42.6697%, 100%, 50.0243%, 1.84915%, 15.8151%, 0.583942%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Saharienne Yves Saint Laurent for women and men,for women and men, - white floral - citrus - aromatic - musky - fresh spicy - green - woody - fresh - floral - soft spicy, 35.5978%, 11.6848%, 52.7174%, 69.5238%, 100%, 24.7619%, 20.9524%, 0.952381%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Blooming Oud Zara for men,for men, - oud - leather - warm spicy - animalic - amber - aromatic - smoky, 60.4982%, 5.33808%, 34.1637%, 98.0392%, 100%, 9.80392%, 23.5294%, 9.80392%,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Bohemian Sunset In Barcelona Zara for women and men,for women and men, - citrus - aromatic - marine - woody - mineral - fresh spicy - salty, 48.1013%, 10.1266%, 41.7722%, 29.6296%, 100%, 18.5185%, 7.40741%, 7.40741%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Elevated Oud Zara for men,for men, - oud - warm spicy - citrus - woody - sweet - fresh spicy - patchouli - vanilla - fresh - powdery, 64.1304%, 5.43478%, 30.4348%, 100%, 53.4351%, 10.687%, 9.92366%, 8.39695%,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
FLWR 001/ALM Zara for women,for women, - citrus - fresh spicy - green - floral - musky - aromatic - powdery, 52.1739%, 8.69565%, 39.1304%, 66.6667%, 100%, 52.381%, 4.7619%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Memorable Oud Zara for men,for men, - warm spicy - woody - oud - citrus - white floral - aromatic - patchouli - powdery - fresh - balsamic, 66.8224%, 6.07477%, 27.1028%, 100%, 100%, 44.8276%, 27.5862%, 24.1379%,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Morning Sunray In Sevilla Zara for women and men,for women and men, - citrus - aromatic - white floral - amber - fresh spicy - smoky - woody - balsamic - fresh, 58.046%, 10.9195%, 31.0345%, 72.7273%, 100%, 45.4545%, 13.6364%, 13.6364%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Nightfall In Madrid Zara for women and men,for women and men, - warm spicy - aromatic - vanilla - woody - amber - fresh spicy - sweet - powdery, 45.6954%, 9.27152%, 45.0331%, 22.7273%, 100%, 31.8182%, 4.54545%, 18.1818%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Textures Green Zara for women,for women, - fresh - fruity - green - warm spicy - citrus - white floral - patchouli - fresh spicy - aromatic - woody, 13.6364%, 29.5455%, 56.8182%, 66.6667%, 100%, 0%, 33.3333%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Textures Lilac Zara for women,for women, - warm spicy - chocolate - floral - sweet - fruity - cacao, 5.12821%, 33.3333%, 61.5385%, 80%, 100%, 0%, 20%, 0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Textures Pink Zara for women,for women, - rose - white floral - soft spicy - sweet - fruity - floral - musky - fresh, 4.87805%, 21.9512%, 73.1707%, 40%, 100%, 0%, 20%, 0%,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Virtuous Oud Zara for men,for men, - citrus - aromatic - fresh - woody - fresh spicy - ozonic - musky - oud - earthy - amber, 60.687%, 5.72519%, 33.5878%, 86.1111%, 100%, 36.1111%, 11.1111%, 11.1111%,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Zara For Her 2004 Zara for women,for women, - citrus - fresh - floral - rose - aldehydic - white floral - powdery - musky - aromatic, 12.069%, 32.7586%, 55.1724%, 46.1538%, 100%, 0%, 46.1538%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Aqua Bergamota Zara Home for women and men,for women and men, - citrus - aromatic - fresh spicy, 40.7609%, 15.7609%, 43.4783%, 77.0833%, 100%, 4.16667%, 16.6667%, 2.08333%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Evitorial Twist Zara Home for women and men,for women and men, - warm spicy - aromatic - lavender - musky - herbal - powdery - woody, 33.3333%, 13.5417%, 53.125%, 100%, 71.4286%, 0%, 23.8095%, 4.7619%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Eau de Polder L’essence de Mastenbroek for women and men,for women and men, - green - fresh - herbal - floral - earthy - fresh spicy, 10.5263%, 6.01504%, 83.4586%, 100%, 75%, 0%, 18.75%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deeply MariaLux for women,for women, - warm spicy - amber - cinnamon - vanilla - powdery, 29.8429%, 17.103%, 53.0541%, 100%, 93.8144%, 5.15464%, 32.9897%, 1.03093%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Madly MariaLux for women,for women, - woody - amber - tuberose - white floral - balsamic - animalic, 33.4471%, 20.8191%, 45.7338%, 58.6207%, 100%, 12.069%, 29.3103%, 0%,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Truly MariaLux for women,for women, - white floral - animalic, 34.1598%, 22.5895%, 43.2507%, 68.4932%, 100%, 2.73973%, 34.2466%, 1.36986%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Green Morgane le Fay for women,for women, - floral - fruity - ozonic - aquatic - green - vanilla - powdery - fresh - rose - musky, 21.2766%, 6.38298%, 72.3404%, 73.3333%, 100%, 6.66667%, 40%, 0%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Absinth Nasomatto for women and men,for women and men, - aromatic - green - woody - fresh spicy - earthy - bitter, 42.9102%, 13.3135%, 43.7763%, 90.4685%, 100%, 18.2553%, 27.1405%, 2.58481%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baraonda Nasomatto for women and men,for women and men, - woody - whiskey - musky - rose - floral - amber - warm spicy, 48.0676%, 8.99849%, 42.934%, 100%, 45.9397%, 9.32715%, 9.51276%, 1.71694%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Black Afgano Nasomatto for women and men,for women and men, - amber - smoky - oud - woody - cannabis - balsamic - green - aromatic - tobacco - warm spicy, 46.6854%, 13.2425%, 40.0721%, 100%, 57.4918%, 11.7426%, 26.3269%, 6.5054%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Blamage Nasomatto for women and men,for women and men, - leather - woody - smoky - musky - animalic - powdery, 40.569%, 11.3799%, 48.0511%, 100%, 79.5276%, 19.3701%, 32.4409%, 5.66929%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
China White Nasomatto for women,for women, - powdery - woody - floral - musky - rose, 43.2369%, 13.8807%, 42.8825%, 84.9594%, 100%, 20.122%, 39.4309%, 5.69106%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Duro Nasomatto for men,for men, - woody - leather - warm spicy - animalic - smoky, 44.8501%, 12.6426%, 42.5072%, 100%, 66.3436%, 14.0088%, 18.326%, 1.67401%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Fantomas Nasomatto for women and men,for women and men, - sweet - smoky - plastic - ozonic - aquatic - fruity - fresh - rubber - earthy - caramel, 41.3276%, 8.86565%, 49.8068%, 100%, 77.6978%, 32.9137%, 43.8849%, 35.4317%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hindu Grass Nasomatto for women and men,for women and men, - green - patchouli - woody - tobacco - warm spicy - fresh - earthy - balsamic, 31.3425%, 12.8767%, 55.7808%, 92.4901%, 100%, 5.92885%, 45.0593%, 1.97628%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Narcotic Venus Nasomatto for women,for women, - white floral - tuberose - animalic, 41.8594%, 12.7105%, 45.43%, 100%, 83.5424%, 16.0148%, 25.5351%, 2.80443%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Nuda Nasomatto for women,for women, - white floral, 21.2867%, 11.2583%, 67.4551%, 100%, 93.8053%, 9.73451%, 55.7522%, 2.65487%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Nudiflorum Nasomatto for women and men,for women and men, - animalic - leather - fruity - woody - sweet - mossy - green - rose - musky - earthy, 48.2701%, 10.8531%, 40.8768%, 100%, 63.2801%, 18.7228%, 37.7359%, 9.43396%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pardon Nasomatto for men,for men, - warm spicy - oud - chocolate - woody - sweet - floral - cinnamon - vanilla - powdery - cacao, 44.2921%, 10.303%, 45.4049%, 100%, 55.4268%, 12.0732%, 15.3049%, 2.07317%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Sadonaso Nasomatto for women and men,for women and men,nan, 42.1642%, 8.02239%, 49.8134%, 79.5666%, 52.6316%, 36.2229%, 45.2012%, 100%,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Silver Musk Nasomatto for women and men,for women and men, - musky - powdery, 40.1506%, 11.9061%, 47.9432%, 95.279%, 100%, 27.2532%, 27.6824%, 3.21888%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Bergamask Orto Parisi for women and men,for women and men, - citrus - musky - powdery - fresh spicy - aromatic, 40.4716%, 9.60572%, 49.9227%, 100%, 64.0533%, 21.5976%, 31.6568%, 9.31953%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Boccanera Orto Parisi for women and men,for women and men, - warm spicy - chocolate - fresh spicy - sweet - musky - cacao - fresh, 36.7141%, 10.3614%, 52.9244%, 100%, 75.6345%, 21.3198%, 31.9797%, 8.29103%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Brutus Orto Parisi for women and men,for women and men, - patchouli - citrus - woody - warm spicy - earthy - fresh spicy - balsamic - aromatic, 41.6849%, 10.3885%, 47.9267%, 100%, 89.8305%, 30.8475%, 21.3559%, 4.40678%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Cuoium Orto Parisi for women and men,for women and men, - animalic - leather - amber - woody - smoky - balsamic - musky - warm spicy - aromatic - fresh spicy, 38.2353%, 6.07417%, 55.6905%, 100%, 49.569%, 21.408%, 15.8046%, 13.7931%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Megamare Orto Parisi for women and men,for women and men, - musky - marine - fresh - aquatic - amber - citrus - aromatic - powdery - ozonic - woody, 48.3741%, 8.18362%, 43.4423%, 100%, 43.8364%, 17.4129%, 17.6341%, 15.257%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Seminalis Orto Parisi for women and men,for women and men,nan, 46.5001%, 12.1987%, 41.3012%, 100%, 80.4734%, 24.4576%, 39.4477%, 14.9901%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stercus Orto Parisi for women and men,for women and men, - oud - leather - musky - powdery - animalic - vanilla - rose - almond - smoky - sweet, 42.994%, 10.713%, 46.293%, 100%, 70.4989%, 18.0043%, 24.295%, 8.45987%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Terroni Orto Parisi for women and men,for women and men, - woody - amber - earthy - smoky - leather - aromatic - warm spicy, 43.3562%, 8.62249%, 48.0214%, 100%, 47.2424%, 12.9898%, 13.7155%, 6.3135%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
