nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Into The Oud Angelique Paris for women and men,for women and men, - fresh spicy - amber - woody - aromatic - citrus - white floral - powdery - vanilla - green - warm spicy, 21.4286%, 0%, 78.5714%, 100%, 100%, 0%, 0%, 100%, 100%, 100%, 0%, 100%, 50%, 100%
Aqua Quorum Antonio Puig for men,for men, - lavender - fresh spicy - aromatic - citrus - mossy - floral - earthy - herbal - amber - leather, 55.618%, 24.2978%, 20.0843%, 64.2553%, 100%, 10.2128%, 18.2979%, 1.70213%, 8.92857%, 83.2143%, 100%, 24.6429%, 93.5714%, 18.9286%
Sybaris Antonio Puig for men,for men, - warm spicy - woody - aromatic - fresh spicy - amber - earthy - smoky - balsamic - mossy - patchouli, 40.98%, 12.9176%, 46.1024%, 100%, 50.6173%, 2.46914%, 7.40741%, 2.46914%, 79.2453%, 60.3774%, 24.5283%, 100%, 71.6981%, 81.1321%
In Red Armand Basi for women,for women, - citrus - warm spicy - woody - white floral - aromatic - fresh spicy - fresh, 31.3595%, 58.8412%, 9.79927%, 32.3204%, 100%, 6.04282%, 36.7058%, 0.587017%, 23.0348%, 86.5174%, 68.4577%, 31.592%, 100%, 13.1841%
In Red EdP Armand Basi for women,for women, - citrus - warm spicy - woody - aromatic - white floral - fresh spicy - fresh, 50.1608%, 34.7852%, 15.0541%, 71.5108%, 100%, 9.92806%, 17.554%, 0.719425%, 48.4305%, 95.0673%, 70.6278%, 64.3498%, 100%, 25.1121%
I Put a Spell on You Art Meets Art for women and men,for women and men, - woody - warm spicy, 20%, 5.33333%, 74.6667%, 30.7692%, 100%, 23.0769%, 30.7692%, 0%, 28.5714%, 78.5714%, 92.8571%, 71.4286%, 100%, 64.2857%
Like a Virgin Art Meets Art for women,for women, - floral - musky - powdery, 28.5714%, 7.93651%, 63.4921%, 60%, 100%, 50%, 70%, 0%, 25%, 91.6667%, 66.6667%, 50%, 100%, 33.3333%
Treselle Avon for women,for women, - white floral - floral - tuberose - fresh spicy - soft spicy - aquatic - musky - animalic - powdery - rose, 34.5661%, 57.48%, 7.95391%, 38.3139%, 100%, 5.27759%, 35.6409%, 1.16518%, 37.0798%, 83.2983%, 49.0546%, 65.4412%, 100%, 44.3277%
Tua Graça Avon for women,for women, - fruity - woody - powdery - tropical - sweet - citrus - white floral - musky - fresh - iris, 4.25532%, 51.0638%, 44.6809%, 100%, 81.8182%, 0%, 0%, 0%, 37.5%, 50%, 62.5%, 50%, 100%, 25%
Azzaro Now Women Azzaro for women,for women, - fresh - white floral - aldehydic - citrus - sweet - fruity - green - tropical - fresh spicy - musky, 30.4536%, 40.1728%, 29.3737%, 42.6471%, 100%, 2.45098%, 67.1569%, 0.490196%, 23.4568%, 69.7531%, 74.6914%, 30.2469%, 100%, 17.9012%
Del Mar Baldessarini Baldessarini for men,for men, - warm spicy - woody - fresh spicy - citrus - aromatic - amber - cinnamon - earthy - patchouli - powdery, 36.3565%, 44.3315%, 19.312%, 49.6622%, 100%, 6.08108%, 31.4189%, 1.35135%, 16.5094%, 66.5094%, 86.3208%, 40.0943%, 100%, 32.5472%
Barbie Barbie for women,for women, - sweet - fruity - floral, 18.1818%, 18.1818%, 63.6364%, 100%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 0%, 100%, 0%
Aqva Divina Bvlgari for women,for women, - citrus - floral - salty - warm spicy - woody - fruity - fresh - marine - sweet - beeswax, 47.9037%, 20.0714%, 32.025%, 75.8242%, 100%, 9.45055%, 48.7912%, 1.97802%, 17.3427%, 53.007%, 100%, 34.1259%, 97.4825%, 28.5315%
Astrea Bvlgari for women,for women, - white floral - leather - warm spicy - honey - musky - metallic - floral - powdery - tobacco - sweet, 23.3696%, 2.17391%, 74.4565%, 100%, 34.6154%, 3.84615%, 3.84615%, 0%, 90.9091%, 68.1818%, 36.3636%, 100%, 63.6364%, 86.3636%
BLV Bvlgari for women,for women, - floral - warm spicy - powdery - musky - citrus - fresh - woody - fresh spicy - white floral - sweet, 34.8764%, 47.236%, 17.8876%, 67.0276%, 100%, 3.44488%, 30.1181%, 0.295276%, 56.761%, 65.2516%, 56.2893%, 57.5472%, 100%, 42.6101%
BLV Notte Pour Femme Bvlgari for women,for women, - warm spicy - amber - powdery - vodka - sweet - iris - chocolate - musky - woody - balsamic, 40.5792%, 34.0547%, 25.366%, 93.5976%, 100%, 2.59146%, 27.7439%, 0.457317%, 76.7981%, 42.4594%, 30.3944%, 76.7981%, 73.7819%, 100%
BLV Notte Pour Homme Bvlgari for men,for men, - aromatic - woody - fresh spicy - warm spicy - lavender - sweet - chocolate - green - tobacco - anis, 44.0066%, 31.6092%, 24.3842%, 64.3678%, 100%, 2.29885%, 28.3525%, 1.14943%, 69.0722%, 67.0103%, 35.0515%, 74.7423%, 54.1237%, 100%
BLV Pour Homme Bvlgari for men,for men, - warm spicy - aromatic - woody - fresh spicy - white floral - green - fresh, 48.0212%, 35.6007%, 16.3781%, 80.1684%, 100%, 8.13845%, 29.4668%, 1.21609%, 38.7674%, 84.9901%, 74.1551%, 57.2565%, 100%, 48.8072%
Bvlgari Man Bvlgari for men,for men, - woody - ozonic - aquatic - amber - aromatic - honey - floral - earthy - musky - sweet, 49.6925%, 29.5228%, 20.7847%, 59.8651%, 100%, 5.56492%, 26.3069%, 0.84317%, 25.5203%, 89.5947%, 60.6791%, 68.0175%, 100%, 40.4162%
Bvlgari Man Black Orient Bvlgari for men,for men, - leather - oud - warm spicy - rum - animalic - rose - tuberose - aromatic - smoky - white floral, 43.7951%, 12.2379%, 43.967%, 100%, 45.1311%, 3.18352%, 10.6742%, 1.1236%, 100%, 18.451%, 8.42825%, 88.3827%, 35.5353%, 93.3941%
Bvlgari Man Glacial Essence Bvlgari for men,for men, - woody - aromatic - fresh spicy - powdery - musky - warm spicy - herbal, 50.0687%, 12.2197%, 37.7117%, 85.9016%, 100%, 59.6721%, 40.3279%, 8.85246%, 23.5154%, 92.1615%, 100%, 43.4679%, 99.7625%, 31.829%
Bvlgari Man In Black Bvlgari for men,for men, - warm spicy - woody - leather - rum - amber - sweet - tobacco - vanilla - animalic - iris, 53.0328%, 14.4902%, 32.477%, 100%, 63.9313%, 9.13645%, 13.0725%, 1.55057%, 100%, 25.6757%, 9.0251%, 90.1786%, 35.2317%, 95.8012%
Bvlgari Man In Black Essence Bvlgari for men,for men, - warm spicy - amber - woody - rum - musky - floral, 51.2262%, 11.7166%, 37.0572%, 100%, 49.2308%, 7.69231%, 8.71795%, 2.05128%, 96.4912%, 33.3333%, 8.18714%, 100%, 52.6316%, 97.6608%
Bvlgari Man In Black Parfum Bvlgari for men,for men, - warm spicy - amber - tuberose - woody - iris - white floral - aromatic - balsamic - powdery - violet, 22.1622%, 1.62162%, 76.2162%, 100%, 85.7143%, 25%, 25%, 35.7143%, 100%, 45%, 7.5%, 92.5%, 32.5%, 85%
Bvlgari Man Terrae Essence Bvlgari for men,for men, - earthy - citrus - woody - aromatic - amber - iris, 50.3502%, 9.68872%, 39.9611%, 100%, 67.6856%, 34.0611%, 30.131%, 16.5939%, 74.6903%, 76.6372%, 33.8053%, 100%, 73.0973%, 69.3805%
Bvlgari Man The Silver Limited Edition Bvlgari for men,for men, - woody - amber - earthy - honey - aromatic - musky - floral - powdery - citrus, 35.2381%, 15.7143%, 49.0476%, 100%, 66.6667%, 3.0303%, 45.4545%, 0%, 75%, 85%, 55%, 90%, 100%, 90%
Bvlgari Man Wood Essence Bvlgari for men,for men, - woody - aromatic - citrus - amber - fresh spicy, 55.7822%, 15.3375%, 28.8803%, 69.0745%, 100%, 23.5892%, 31.4898%, 4.17607%, 40.3868%, 99.0899%, 54.1524%, 99.8862%, 100%, 53.5836%
Bvlgari Man Wood Neroli Bvlgari for men,for men, - citrus - white floral - woody - fresh spicy - amber - animalic - aromatic - musky - powdery - fresh, 56.3228%, 10.7048%, 32.9724%, 100%, 93.1343%, 22.6866%, 20.1493%, 3.43284%, 10.7059%, 96.3529%, 100%, 36.8235%, 95.2941%, 21.2941%
Erea Bvlgari for women,for women, - vanilla - warm spicy - amber - aromatic - fresh spicy - powdery - balsamic, 30.8036%, 4.46429%, 64.7321%, 100%, 53.5714%, 14.2857%, 28.5714%, 3.57143%, 100%, 34.4828%, 20.6897%, 86.2069%, 55.1724%, 79.3104%
Goldea Bvlgari for women,for women, - sweet - white floral - woody - yellow floral - amber - musky - fruity - patchouli - powdery - citrus, 46.2474%, 23.9055%, 29.8471%, 53.8566%, 100%, 9.33694%, 41.8133%, 2.02977%, 77.9904%, 52.8708%, 35.6459%, 100%, 94.9761%, 72.0096%
Goldea The Roman Night Bvlgari for women,for women, - white floral - fruity - musky - woody - floral - rose - earthy - fresh spicy - fresh - tuberose, 48.42%, 18.104%, 33.476%, 50.4615%, 100%, 15.5385%, 30.1538%, 0.769231%, 73.3503%, 43.401%, 31.4721%, 92.3858%, 70.8122%, 100%
Goldea The Roman Night Absolute Bvlgari for women,for women, - white floral - fruity - sweet - vanilla - patchouli - musky - earthy - powdery - woody - mossy, 49.9642%, 16.6786%, 33.3572%, 70.2439%, 100%, 23.4146%, 37.561%, 2.92683%, 86.2069%, 36.2069%, 21.8391%, 97.1264%, 47.1264%, 100%
Man Black Cologne Bvlgari for men,for men, - amber - white floral - citrus - woody - green - rum - tuberose - warm spicy - powdery - animalic, 51.4881%, 17.4405%, 31.0714%, 76.3314%, 100%, 8.28402%, 17.7515%, 0.887574%, 55.5556%, 100%, 69.3603%, 93.6027%, 90.9091%, 88.5522%
Nylaia Bvlgari for women,for women, - amber - iris - powdery - woody - musky - floral - earthy - vanilla - warm spicy - violet, 26.9461%, 12.8743%, 60.1796%, 100%, 84.6154%, 20.5128%, 15.3846%, 7.69231%, 55%, 75%, 45%, 100%, 95%, 45%
Omnia Bvlgari for women,for women, - warm spicy - woody - sweet - fresh spicy, 38.4552%, 33.3196%, 28.2253%, 78.7056%, 100%, 7.30689%, 30.8977%, 0.556715%, 73.4602%, 40.2016%, 32.0269%, 100%, 99.3281%, 61.8141%
Omnia Amethyste Bvlgari for women,for women, - powdery - iris - vanilla - woody - almond - floral - violet - green - earthy - citrus, 44.3311%, 34.5677%, 21.1012%, 60.9154%, 100%, 9.72054%, 29.2831%, 1.01256%, 22.7015%, 91.6005%, 51.2486%, 37.5142%, 100%, 24.9716%
Omnia by Mary Katrantzou Bvlgari for women,for women, - white floral - citrus - green - woody - musky - lactonic - fresh - sweet - animalic, 37.1547%, 6.62983%, 56.2155%, 50%, 100%, 52.8571%, 45.7143%, 15.7143%, 10.9589%, 98.6301%, 91.7808%, 34.2466%, 100%, 21.9178%
Omnia Coral Bvlgari for women,for women, - floral - woody - fresh spicy - fruity - musky - citrus - aquatic - sour - powdery - sweet, 45.0764%, 27.4808%, 27.4428%, 53.698%, 100%, 10.8243%, 23.7673%, 0.885978%, 10.1526%, 78.222%, 91.0047%, 22.9879%, 100%, 14.5187%
Omnia Crystalline Bvlgari for women,for women, - woody - floral - musky - aquatic - green - ozonic - fruity - fresh - powdery - earthy, 41.6116%, 35.6956%, 22.6928%, 64.7903%, 100%, 9.49794%, 25.5814%, 0.630298%, 20.9721%, 78.5909%, 80.5571%, 27.089%, 100%, 16.876%
Omnia Crystalline Eau de Parfum Bvlgari for women,for women, - powdery - floral - musky - vanilla - woody - amber - iris - citrus - warm spicy - aquatic, 37.5138%, 29.1896%, 33.2966%, 67.5141%, 100%, 7.76836%, 25.8475%, 0.141243%, 34.8697%, 83.3667%, 50.7014%, 54.9098%, 100%, 27.0541%
Omnia Golden Citrine Bvlgari for women,for women, - yellow floral - sweet - woody - white floral - fruity - citrus - amber - floral - warm spicy, 38.671%, 11.329%, 50%, 37.2881%, 100%, 31.6384%, 38.4181%, 6.77966%, 14.9701%, 78.4431%, 83.2335%, 37.7246%, 100%, 18.5629%
Omnia Green Jade Bvlgari for women,for women, - green - woody - floral - white floral - musky - fresh - citrus - powdery - rose - nutty, 34.2934%, 35.5886%, 30.1179%, 44.4612%, 100%, 3.31575%, 31.3489%, 0.527506%, 12.8017%, 84.8898%, 61.0703%, 24.554%, 100%, 15.32%
Omnia Indian Garnet Bvlgari for women,for women, - citrus - fruity - woody - floral - warm spicy - tuberose - amber - white floral, 44.8276%, 30.4075%, 24.7649%, 45.8716%, 100%, 6.5367%, 33.7156%, 0.573395%, 21.7082%, 69.395%, 78.6477%, 57.6512%, 100%, 22.4199%
Omnia Paraiba Bvlgari for women,for women, - fruity - tropical - sweet - citrus - fresh - floral - white floral - cacao, 44.5046%, 25.1905%, 30.3049%, 55.6384%, 100%, 9.87884%, 31.2209%, 1.30475%, 5.07559%, 45.4644%, 100%, 10.4752%, 92.4406%, 13.8229%
Omnia Pink Sapphire Bvlgari for women,for women, - citrus - floral - powdery - musky - sweet - fresh spicy - tropical - fruity, 49.2219%, 21.3428%, 29.4353%, 34.8214%, 100%, 20.5357%, 39.5089%, 2.90179%, 9.79827%, 85.0144%, 92.5072%, 19.8847%, 100%, 18.1556%
Rose Goldea Bvlgari for women,for women, - rose - floral - woody - musky - fresh - powdery - fresh spicy - white floral, 44.9232%, 16.741%, 38.3358%, 67.7824%, 100%, 21.4784%, 27.7545%, 1.25523%, 25.2669%, 94.8399%, 61.7438%, 43.4164%, 100%, 26.6904%
Rose Goldea Blossom Delight Bvlgari for women,for women, - rose - green - musky - white floral - floral - tropical - powdery - fresh - ozonic, 48.0956%, 10.5302%, 41.3742%, 62.069%, 100%, 27.1552%, 25.431%, 1.2931%, 15.0538%, 100%, 70.4301%, 22.5806%, 98.9247%, 19.8925%
Rose Goldea Jacky Tsai Edition Bvlgari for women,for women, - rose - woody - floral - powdery - musky - fresh spicy - fruity - fresh - vanilla - white floral, 25.5474%, 7.29927%, 67.1533%, 100%, 14.2857%, 7.14286%, 7.14286%, 7.14286%, 37.5%, 62.5%, 37.5%, 37.5%, 100%, 12.5%
Rose Goldea Kathleen Kye Edition Bvlgari for women,for women, - rose - floral - citrus - fresh spicy - woody - powdery - musky - fresh - vanilla - white floral, 33.3333%, 7.07071%, 59.596%, 80%, 100%, 0%, 0%, 0%, 40%, 100%, 60%, 60%, 80%, 60%
Rubinia Bvlgari for women,for women, - vanilla - warm spicy - balsamic - woody - powdery - citrus - violet - white floral - sweet - oud, 37.6147%, 11.3761%, 51.0092%, 100%, 88.8889%, 33.3333%, 22.2222%, 31.746%, 100%, 33.8462%, 20%, 100%, 55.3846%, 90.7692%
Veridia Bvlgari for women,for women, - aromatic - amber - woody - warm spicy - green - vanilla - musky - powdery - fresh spicy - balsamic, 30.8357%, 12.9683%, 56.196%, 100%, 65.3061%, 12.2449%, 18.3673%, 6.12245%, 70.9677%, 80.6452%, 41.9355%, 100%, 93.5484%, 90.3226%
A Kiss from a Rose By Kilian for women,for women, - green - rose - white floral - woody - fruity - musky - floral - earthy - powdery, 28.0079%, 5.32544%, 66.6667%, 100%, 100%, 36.1111%, 26.3889%, 8.33333%, 33.7662%, 100%, 84.4156%, 46.7532%, 80.5195%, 38.961%
Born to be Unforgettable By Kilian for women and men,for women and men, - citrus - coca-cola - woody - fresh spicy - warm spicy - cinnamon - vanilla - powdery - conifer - sweet, 21.8919%, 3.78378%, 74.3243%, 100%, 92.1569%, 70.5882%, 43.1373%, 37.2549%, 79.0323%, 100%, 95.1613%, 91.9355%, 80.6452%, 90.3226%
Can't Stop Loving You By Kilian for women,for women, - white floral - honey - sweet - mossy - vanilla - amber - citrus - earthy - woody - fresh spicy, 32.652%, 7.27817%, 60.0698%, 100%, 95.098%, 55.8824%, 46.0784%, 16.6667%, 50.2513%, 100%, 65.8292%, 82.9146%, 91.9598%, 63.8191%
Dark Lord By Kilian for men,for men, - woody - leather - aromatic - earthy - fresh spicy - animalic - citrus - white floral - green - rum, 34.3459%, 8.71048%, 56.9436%, 100%, 59.9222%, 14.3969%, 34.6304%, 11.284%, 96.7254%, 37.7834%, 14.1058%, 100%, 41.8136%, 98.2368%
Eternal Oud By Kilian for women and men,for women and men, - oud - rose - warm spicy - metallic - floral - leather - fresh spicy, 34.5833%, 6.25%, 59.1667%, 100%, 41.6667%, 0%, 19.4444%, 13.8889%, 88.8889%, 50%, 22.2222%, 83.3333%, 50%, 100%
Good Girl Gone Bad Anniversary Edition By Kilian for women,for women, - white floral - floral - yellow floral - tuberose - fruity - amber - woody - green - animalic, 29.2683%, 4.87805%, 65.8537%, 75%, 75%, 0%, 0%, 100%, 16.6667%, 100%, 83.3333%, 33.3333%, 100%, 66.6667%
Good Girl Gone Bad Eau Fraîche By Kilian for women,for women, - white floral - aquatic - musky - tuberose - fresh - rose - animalic, 43.5913%, 12.322%, 44.0867%, 97.1698%, 100%, 44.3396%, 42.4528%, 9.43396%, 26.9565%, 100%, 98.2609%, 47.8261%, 93.913%, 36.5217%
Good Girl Gone Bad Extreme By Kilian for women,for women, - white floral - floral - lactonic - tuberose - fruity - yellow floral - green - amber - animalic - soft spicy, 46.1233%, 11.8815%, 41.9952%, 100%, 62.2018%, 15.4128%, 14.8624%, 3.11927%, 64.3791%, 95.4248%, 60.4575%, 94.1176%, 100%, 76.1438%
Kisses Don't Lie By Kilian for women,for women, - rose - sweet - fruity - floral - chocolate - warm spicy - violet - amber - soft spicy - citrus, 50.777%, 27.1562%, 22.0668%, 40.5152%, 100%, 21.0773%, 47.7752%, 2.34192%, 58.1281%, 96.0591%, 50.7389%, 90.1478%, 100%, 70.4434%
Musk Oud By Kilian for women and men,for women and men, - aromatic - rose - oud - warm spicy - fresh spicy - musky - woody - citrus - herbal - powdery, 42.0555%, 9.92321%, 48.0213%, 100%, 31.5197%, 6.00375%, 11.4447%, 3.37711%, 100%, 80.9668%, 18.429%, 92.7492%, 84.5922%, 96.9789%
"Sophie Matisse Art Edition Good Girl Gone Bad, Splash of Neroli By Kilian for women and men",for women and men, - citrus - white floral - woody - aromatic - tuberose - rose - green - floral - earthy - warm spicy, 37.5%, 23.6979%, 38.8021%, 100%, 75.9259%, 3.7037%, 24.0741%, 1.85185%, 33.3333%, 94.4444%, 63.8889%, 52.7778%, 100%, 22.2222%
Voulez-Vous Coucher Avec Moi By Kilian for women and men,for women and men, - white floral - woody - tuberose - yellow floral - vanilla - sweet - rose - powdery - animalic, 46.1741%, 16.2841%, 37.5418%, 88.6513%, 100%, 25.1645%, 34.375%, 5.09868%, 68.7042%, 82.6406%, 42.0538%, 100%, 79.7066%, 95.11%
Scarlett Cacharel for women,for women, - white floral - sweet - fruity - honey - citrus - fresh - green - floral, 33.1018%, 40.199%, 26.6992%, 47.2435%, 100%, 3.97767%, 49.3371%, 0.488486%, 15.5665%, 86.601%, 54.1872%, 30.2463%, 100%, 16.1576%
Homme de Café Cafe Parfums for men,for men, - woody - citrus - aromatic - musky - powdery - fruity - sweet - warm spicy - fresh spicy, 51.3636%, 17.2727%, 31.3636%, 75.8621%, 100%, 41.3793%, 3.44828%, 6.89655%, 77.7778%, 75%, 33.3333%, 100%, 86.1111%, 69.4444%
CK All Calvin Klein for women and men,for women and men, - citrus - white floral - aromatic - floral - green - fruity - fresh spicy - musky, 55.459%, 21.7847%, 22.7563%, 60.7288%, 100%, 21.8623%, 17.274%, 1.61943%, 15.7407%, 80.6878%, 100%, 28.5714%, 100%, 20.6349%
CK Everyone Eau de Toilette Calvin Klein for women and men,for women and men, - aquatic - citrus - fresh - musky - warm spicy - woody - green - powdery - sweet - fresh spicy, 60.3521%, 16.7924%, 22.8555%, 41.203%, 100%, 42.2556%, 29.0226%, 2.55639%, 12.7577%, 74.8711%, 100%, 24.4845%, 94.0722%, 14.0464%
CK One Calvin Klein for women and men,for women and men, - citrus - green - woody - powdery - white floral - fresh - aromatic - fresh spicy - floral - musky, 46.2622%, 44.6475%, 9.09025%, 39.9562%, 100%, 18.141%, 23.7964%, 2.10781%, 12.2597%, 69.6234%, 95.7403%, 20.1558%, 100%, 14.4805%
CK One Chinese New Year Edition Calvin Klein for women and men,for women and men, - citrus - powdery - violet - fresh spicy - green - tropical - fresh - musky - sweet - aromatic, 57.197%, 12.5%, 30.303%, 32.4324%, 100%, 24.3243%, 10.8108%, 5.40541%, 16.6667%, 70%, 90%, 36.6667%, 100%, 30%
CK One Collector Bottle 2008 Calvin Klein for women and men,for women and men, - fresh spicy - powdery - citrus - warm spicy - tropical - musky - green - sweet - aromatic - fresh, 35.3448%, 26.7241%, 37.931%, 31.8182%, 100%, 0%, 18.1818%, 0%, 12.5%, 50%, 68.75%, 37.5%, 100%, 50%
CK One Collector's Bottle Calvin Klein for women and men,for women and men, - citrus - woody - green - powdery - amber - musky - aromatic - fresh spicy - warm spicy - floral, 25%, 6.25%, 68.75%, 100%, 100%, 0%, 0%, 0%, 50%, 100%, 50%, 50%, 100%, 100%
CK One Collector's Edition Calvin Klein for women,for women, - citrus - fresh spicy - powdery - green - rose - floral - musky - aromatic - fresh - violet, 50%, 12.6812%, 37.3188%, 69.4444%, 100%, 5.55556%, 19.4444%, 5.55556%, 6.06061%, 75.7576%, 100%, 27.2727%, 96.9697%, 30.303%
CK One Collector's Edition Calvin Klein for women and men,for women and men, - woody - citrus - powdery - tropical - green - aromatic - musky - sweet - floral - fresh, 66.2304%, 17.801%, 15.9686%, 51.3514%, 100%, 43.2432%, 27.027%, 2.7027%, 36.25%, 88.75%, 90%, 57.5%, 100%, 23.75%
Ck One Graffiti Calvin Klein for women and men,for women and men, - tropical - sweet - fresh spicy - powdery - citrus - amber - fresh - floral - musky - fruity, 6.89655%, 12.6437%, 80.4598%, 10%, 100%, 0%, 0%, 10%, 50%, 50%, 62.5%, 100%, 50%, 37.5%
Eternity Parfum For Men Calvin Klein for men,for men, - vanilla - rum - lavender - sweet - powdery - woody - aromatic, 39.2694%, 9.58904%, 51.1416%, 95.3125%, 100%, 42.1875%, 26.5625%, 25%, 95.9596%, 47.4747%, 22.2222%, 100%, 58.5859%, 90.9091%
Truth Calvin Klein for women,for women, - floral - woody - green - citrus - sweet - powdery - white floral - aromatic - earthy - fresh, 43.5087%, 36.6462%, 19.8451%, 67.1362%, 100%, 8.55503%, 29.4731%, 1.35629%, 18.9747%, 88.0826%, 69.3076%, 42.6764%, 100%, 19.3076%
Carita Eau de Parfum Carita for women,for women, - powdery - vanilla - violet - floral - iris - musky - rose, 30.5556%, 16.6667%, 52.7778%, 100%, 82.4561%, 1.75439%, 21.0526%, 1.75439%, 59.4595%, 100%, 37.8378%, 86.4865%, 97.2973%, 54.0541%
212 Carolina Herrera for women,for women, - white floral - floral - citrus - powdery - musky - green, 36.3799%, 47.0513%, 16.5688%, 66.3005%, 100%, 6.9439%, 30.7179%, 1.53001%, 25.7198%, 75.3359%, 69.9616%, 41.1708%, 100%, 30.4223%
212 Heroes Forever Young Carolina Herrera for women,for women, - fruity - white floral - sweet - citrus - woody - powdery, 46.7179%, 7.61173%, 45.6704%, 98.1818%, 100%, 46.0606%, 29.697%, 4.84848%, 26.7327%, 83.6634%, 84.6535%, 42.5743%, 100%, 29.703%
212 Men Carolina Herrera for men,for men, - citrus - green - warm spicy - aromatic - woody - powdery - fresh spicy - musky - lavender - violet, 44.6389%, 36.7174%, 18.6438%, 95.4943%, 100%, 7.6175%, 20.9724%, 1.49109%, 23.9041%, 86.818%, 84.9574%, 43.4563%, 100%, 43.204%
212 Men Aqua Carolina Herrera for men,for men, - woody - warm spicy - aromatic - citrus - marine - amber - musky - earthy - powdery - fresh spicy, 45.6086%, 22.8043%, 31.5871%, 100%, 92.9578%, 5.6338%, 32.3944%, 0%, 14.7727%, 80.6818%, 100%, 31.8182%, 100%, 27.2727%
212 Men Silver Carolina Herrera for men,for men, - warm spicy - green - fresh - musky - woody - white floral - powdery - amber - smoky - balsamic, 27.027%, 16.2162%, 56.7568%, 100%, 0%, 0%, 14.2857%, 0%, 20%, 80%, 80%, 80%, 80%, 100%
212 NYC Men Pills Carolina Herrera for men,for men, - woody - aromatic - green - warm spicy - citrus - powdery - amber - violet - herbal - white floral, 30.7692%, 23.8462%, 45.3846%, 100%, 94.4444%, 5.55556%, 11.1111%, 0%, 38.0952%, 95.2381%, 61.9048%, 80.9524%, 100%, 71.4286%
212 NYC Pills Carolina Herrera for women,for women, - white floral - floral - citrus - green - powdery - musky - rose - fresh, 32.6797%, 22.2222%, 45.098%, 80%, 100%, 10%, 25%, 0%, 19.2308%, 84.6154%, 84.6154%, 30.7692%, 100%, 15.3846%
212 Sexy Men Carolina Herrera for men,for men, - vanilla - woody - powdery - warm spicy - fresh spicy - citrus - floral - aromatic - musky - amber, 44.1069%, 37.771%, 18.1221%, 73.1544%, 100%, 10.8221%, 34.7315%, 2.43289%, 84.1484%, 37.774%, 16.5261%, 79.9326%, 35.6661%, 100%
212 Sexy Men Pills Carolina Herrera for men,for men, - vanilla - warm spicy - woody - powdery - citrus - fresh spicy - amber - aromatic - floral - sweet, 25.8065%, 17.2043%, 56.9892%, 100%, 33.3333%, 0%, 16.6667%, 0%, 83.3333%, 25%, 16.6667%, 100%, 58.3333%, 100%
212 Summer Cocktail Carolina Herrera for women,for women, - citrus - fruity - white floral - sweet - woody - floral - fresh - vodka - powdery, 6.66667%, 17.7778%, 75.5556%, 100%, 20%, 0%, 40%, 20%, 0%, 100%, 100%, 100%, 100%, 100%
212 VIP Carolina Herrera for women,for women, - vanilla - rum - sweet - tropical - fruity - white floral - powdery - musky - woody - fresh, 41.5472%, 36.0307%, 22.4221%, 56.8932%, 100%, 6.95146%, 36.0777%, 1.32039%, 85.1678%, 35.256%, 25.4856%, 78.4579%, 54.9735%, 100%
212 VIP Pills Carolina Herrera for women,for women, - vanilla - musky - white floral - sweet - amber - powdery - aromatic - rum - warm spicy - animalic, 29.2517%, 10.8844%, 59.8639%, 53.3333%, 100%, 6.66667%, 33.3333%, 0%, 100%, 61.5385%, 15.3846%, 76.9231%, 100%, 76.9231%
Chic Carolina Herrera for women,for women, - white floral - floral - tuberose - rose - citrus - powdery - musky - green, 28.7523%, 58.771%, 12.4767%, 45.515%, 100%, 3.8206%, 29.9003%, 0.830565%, 27.5949%, 78.9873%, 65.3165%, 47.0886%, 100%, 32.1519%
Le Baiser Du Dragon Cartier for women,for women, - almond - woody - fruity - amber - earthy - warm spicy - patchouli - sweet - aromatic - white floral, 42.6203%, 21.9057%, 35.474%, 100%, 91.2271%, 5.00538%, 34.93%, 1.02261%, 95.9755%, 24.2345%, 16.4479%, 97.9003%, 65.2668%, 100%
Le Baiser Du Dragon Parfum Cartier for women,for women, - almond - woody - amber - fruity - warm spicy - sweet - earthy - caramel - white floral - chocolate, 46.9697%, 12.6263%, 40.404%, 100%, 24.2424%, 10.6061%, 4.54545%, 1.51515%, 94.7369%, 42.1053%, 18.4211%, 100%, 47.3684%, 86.8421%
Must II Cartier for women,for women, - woody - aromatic - green - floral - citrus - earthy - powdery - white floral - yellow floral - mossy, 39.4177%, 34.6025%, 25.9798%, 100%, 84.2105%, 0%, 19.7368%, 0%, 66.1765%, 86.7647%, 58.8235%, 67.6471%, 100%, 88.2353%
Panthere Cartier for women,for women, - white floral - woody - warm spicy - floral - amber - powdery - animalic - citrus - musky - yellow floral, 43.4193%, 21.6878%, 34.8929%, 100%, 75.1351%, 5.13514%, 20.2703%, 1.62162%, 90%, 30.5%, 20.5%, 79%, 41%, 100%
Eau Des Vignes Caudalie for women,for women, - citrus - powdery - iris - musky - fresh spicy - violet - aromatic - earthy - woody - floral, 49.4432%, 18.7082%, 31.8486%, 67.1233%, 100%, 31.5068%, 15.0685%, 1.36986%, 12.1212%, 84.8485%, 100%, 22.7273%, 98.4849%, 12.1212%
