nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Le Charme 12 Parfumeurs Francais for women,for women, - citrus - powdery - vanilla - woody - aromatic - fresh spicy - rose - floral - green - musky, 24.0602%, 24.812%, 51.1278%, 50%, 100%, 10%, 40%, 0%, 28.5714%, 71.4286%, 71.4286%, 14.2857%, 100%, 28.5714%
Le Charmeur 12 Parfumeurs Francais for men,for men, - citrus - woody - aromatic - warm spicy - fresh spicy - patchouli - earthy - white floral, 31.25%, 0%, 68.75%, 40%, 100%, 20%, 60%, 0%, 100%, 66.6667%, 66.6667%, 100%, 66.6667%, 66.6667%
Le Fantome 12 Parfumeurs Francais for men,for men, - aromatic - woody - citrus - fresh spicy - lavender - camphor - earthy - green - anis - herbal, 26.8293%, 14.6341%, 58.5366%, 81.8182%, 100%, 27.2727%, 36.3636%, 0%, 20%, 80%, 60%, 40%, 100%, 20%
Ma Reine 12 Parfumeurs Francais for women,for women, - amber - fresh spicy - warm spicy - balsamic - aromatic - fruity - smoky, 31.0924%, 15.9664%, 52.9412%, 100%, 28.5714%, 0%, 9.52381%, 0%, 100%, 28.5714%, 14.2857%, 100%, 57.1429%, 71.4286%
Mon Amour 12 Parfumeurs Francais for women,for women, - fruity - woody - aromatic - soft spicy - sweet - citrus - earthy, 27.027%, 16.2162%, 56.7568%, 40%, 100%, 5%, 25%, 0%, 16.6667%, 66.6667%, 83.3333%, 16.6667%, 100%, 16.6667%
Mon Cher 12 Parfumeurs Francais for men,for men, - woody - citrus - powdery - violet - fresh spicy - musky, 20%, 8.57143%, 71.4286%, 100%, 100%, 20%, 60%, 0%, 66.6667%, 66.6667%, 66.6667%, 66.6667%, 100%, 33.3333%
Mon Roi 12 Parfumeurs Francais for men,for men, - warm spicy - aromatic - lavender - amber - smoky - fresh spicy - woody - balsamic, 31.5789%, 23.6842%, 44.7368%, 60%, 100%, 10%, 10%, 10%, 50%, 50%, 33.3333%, 100%, 83.3333%, 50%
Secret de l’Amour 12 Parfumeurs Francais for women,for women, - amber - white floral - citrus - warm spicy - powdery - musky - woody - floral - patchouli - sweet, 22.093%, 27.907%, 50%, 35%, 100%, 5%, 10%, 0%, 83.3333%, 16.6667%, 50%, 100%, 100%, 83.3333%
Secrets des Hommes 12 Parfumeurs Francais for men,for men, - iris - powdery - woody - earthy - violet - amber - patchouli - yellow floral - tuberose - sweet, 29.4118%, 5.88235%, 64.7059%, 100%, 75%, 50%, 50%, 0%, 33.3333%, 100%, 0%, 100%, 66.6667%, 33.3333%
Beauty Cafe Faberlic for women,for women, - sweet - yellow floral - floral - fruity - citrus - fresh - powdery - iris - amber - tropical, 38.9452%, 50.3043%, 10.7505%, 20.9677%, 100%, 15.7258%, 48.3871%, 1.20968%, 54.2553%, 67.5532%, 35.1064%, 78.1915%, 100%, 20.2128%
Adidas 3 Extreme Pour Lui Adidas for men,for men, - woody - aromatic - warm spicy - cinnamon - fresh spicy - musky - powdery - green - soft spicy - herbal, 35.7143%, 42.8571%, 21.4286%, 16.6667%, 100%, 0%, 83.3333%, 0%, 0%, 0%, 100%, 100%, 0%, 100%
Adidas 3 Man Adidas for men,for men, - woody - musky - powdery - warm spicy, 17.9487%, 58.9744%, 23.0769%, 36.3636%, 100%, 0%, 72.7273%, 0%, 12.5%, 62.5%, 75%, 12.5%, 100%, 0%
Dunhill Edition Alfred Dunhill for men,for men, - aromatic - fresh spicy - woody - citrus - earthy - floral - fresh - mossy - lavender, 49.0971%, 23.9842%, 26.9187%, 100%, 80.9689%, 13.8408%, 15.917%, 3.11419%, 47.8261%, 78.2609%, 79.4466%, 87.747%, 100%, 51.7787%
Cumbia Colors Woman Benetton for women,for women, - white floral - musky - powdery - vanilla - floral - soft spicy - fresh - animalic - sweet, 30.2158%, 41.7266%, 28.0576%, 22.2222%, 100%, 11.1111%, 33.3333%, 7.40741%, 13.3333%, 46.6667%, 86.6667%, 20%, 100%, 20%
Magic Celine for women,for women, - sweet - woody - floral - yellow floral - fruity - powdery - white floral - amber - citrus - rose, 36.1669%, 19.4745%, 44.3586%, 74.7253%, 100%, 1.0989%, 18.6813%, 1.0989%, 63.0435%, 54.3478%, 26.087%, 100%, 97.8261%, 78.2609%
Instinct David Beckham for men,for men, - citrus - aromatic - warm spicy - woody - earthy - anis - soft spicy - fresh spicy - patchouli - floral, 54.2742%, 38.1855%, 7.54032%, 30.2048%, 100%, 21.1604%, 31.3993%, 4.26621%, 20.7819%, 94.4444%, 80.4527%, 47.5309%, 100%, 32.5103%
Echo Davidoff for men,for men, - fresh spicy - woody - warm spicy - musky - powdery - leather, 37.9608%, 51.5553%, 10.4839%, 37.2596%, 100%, 6.25%, 30.0481%, 0.721154%, 10.4918%, 70.4918%, 92.7869%, 24.918%, 100%, 18.0328%
That's Amore! Gai Mattiolo Exotic Paradise LUI Hawaiian Water Gai Mattiolo for men,for men, - woody - fresh - sweet - fruity - green - aromatic - citrus - earthy - tropical - marine, 25%, 4.16667%, 70.8333%, 50%, 100%, 50%, 100%, 0%, 0%, 33.3333%, 100%, 33.3333%, 100%, 33.3333%
Emporio Armani He Giorgio Armani for men,for men, - citrus - aromatic - fresh spicy - powdery - woody - musky - warm spicy - floral - sweet - green, 51.2605%, 30.6256%, 18.1139%, 100%, 84.507%, 38.7324%, 10.5634%, 6.33803%, 53.1915%, 100%, 84.0426%, 88.2979%, 88.8298%, 70.2128%
Emporio Armani Lui Giorgio Armani for men,for men, - woody - citrus - aromatic - powdery - fruity - fresh spicy - warm spicy - sweet - mossy - musky, 38.5051%, 49.0173%, 12.4777%, 75.5747%, 100%, 6.17816%, 18.6782%, 0.718391%, 45.5238%, 94.6667%, 69.7143%, 78.2857%, 100%, 68.5714%
G Giorgio Beverly Hills for women,for women, - floral - fresh - fruity - sweet - woody - warm spicy - powdery - citrus - ozonic - aromatic, 37.5%, 45.098%, 17.402%, 42.623%, 100%, 2.18579%, 43.7158%, 2.18579%, 25.4098%, 77.8689%, 61.4754%, 36.8852%, 100%, 32.7869%
Very Irresistible for men Givenchy for men,for men, - woody - nutty - coffee - aromatic - green - fresh spicy - warm spicy - citrus, 35.3554%, 39.4949%, 25.1497%, 100%, 84.5953%, 3.26371%, 27.154%, 0.391645%, 87.1838%, 50.4216%, 21.7538%, 86.0034%, 59.8651%, 100%
